Species,variable,value,label,EpiState,EpiVal,Color,variable_fac
Acanthocheilonema viteae,Singletons,8,A  viteae,DNMT,absent,DNMTabsent,Singletons
Acyrthosiphon pisum,Singletons,461,A  pisum,DNMT,present,DNMTpresent,Singletons
Amphimedon queenslandica,Singletons,476,A  queenslandica,DNMT,present,DNMTpresent,Singletons
Ancylostoma caninum,Singletons,13,A  caninum,DNMT,absent,DNMTabsent,Singletons
Ancylostoma ceylanicum,Singletons,16,A  ceylanicum,DNMT,absent,DNMTabsent,Singletons
Anopheles darlingi,Singletons,31,A  darlingi,DNMT,absent,DNMTabsent,Singletons
Anopheles gambiae,Singletons,270,A  gambiae,DNMT,absent,DNMTabsent,Singletons
Apis mellifera,Singletons,20,A  mellifera,DNMT,present,DNMTpresent,Singletons
Atta cephalotes,Singletons,88,A  cephalotes,DNMT,present,DNMTpresent,Singletons
Belgica antarctica,Singletons,54,B  antarctica,DNMT,present,DNMTpresent,Singletons
Bombus impatiens,Singletons,115,B  impatiens,DNMT,present,DNMTpresent,Singletons
Bombyx mori,Singletons,177,B  mori,DNMT,present,DNMTpresent,Singletons
Brugia malayi,Singletons,7,B  malayi,DNMT,absent,DNMTabsent,Singletons
Bursaphelenchus xylophilus,Singletons,112,B  xylophilus,DNMT,absent,DNMTabsent,Singletons
Caenorhabditis afra,Singletons,36,C  afra,DNMT,absent,DNMTabsent,Singletons
Caenorhabditis angaria,Singletons,17,C  angaria,DNMT,absent,DNMTabsent,Singletons
Caenorhabditis brenneri,Singletons,76,C  brenneri,DNMT,absent,DNMTabsent,Singletons
Caenorhabditis briggsae,Singletons,50,C  briggsae,DNMT,absent,DNMTabsent,Singletons
Caenorhabditis castelli,Singletons,13,C  castelli,DNMT,absent,DNMTabsent,Singletons
Caenorhabditis doughertyi,Singletons,76,C  doughertyi,DNMT,absent,DNMTabsent,Singletons
Caenorhabditis elegans,Singletons,62,C  elegans,DNMT,absent,DNMTabsent,Singletons
Caenorhabditis japonica,Singletons,185,C  japonica,DNMT,absent,DNMTabsent,Singletons
Caenorhabditis kamaaina,Singletons,40,C  kamaaina,DNMT,absent,DNMTabsent,Singletons
Caenorhabditis latens,Singletons,5,C  latens,DNMT,absent,DNMTabsent,Singletons
Caenorhabditis monodelphis,Singletons,170,C  monodelphis,DNMT,absent,DNMTabsent,Singletons
Caenorhabditis nouraguensis,Singletons,10,C  nouraguensis,DNMT,absent,DNMTabsent,Singletons
Caenorhabditis plicata,Singletons,213,C  plicata,DNMT,absent,DNMTabsent,Singletons
Caenorhabditis remanei,Singletons,3,C  remanei,DNMT,absent,DNMTabsent,Singletons
Caenorhabditis sinica,Singletons,53,C  sinica,DNMT,absent,DNMTabsent,Singletons
Caenorhabditis sp21,Singletons,107,C  sp21,DNMT,absent,DNMTabsent,Singletons
Caenorhabditis sp26,Singletons,32,C  sp26,DNMT,absent,DNMTabsent,Singletons
Caenorhabditis sp28,Singletons,25,C  sp28,DNMT,absent,DNMTabsent,Singletons
Caenorhabditis sp29,Singletons,9,C  sp29,DNMT,absent,DNMTabsent,Singletons
Caenorhabditis sp31,Singletons,88,C  sp31,DNMT,absent,DNMTabsent,Singletons
Caenorhabditis sp32,Singletons,57,C  sp32,DNMT,absent,DNMTabsent,Singletons
Caenorhabditis sp34,Singletons,97,C  sp34,DNMT,absent,DNMTabsent,Singletons
Caenorhabditis sp38,Singletons,94,C  sp38,DNMT,absent,DNMTabsent,Singletons
Caenorhabditis sp39,Singletons,21,C  sp39,DNMT,absent,DNMTabsent,Singletons
Caenorhabditis tropicalis,Singletons,17,C  tropicalis,DNMT,absent,DNMTabsent,Singletons
Caenorhabditis virilis,Singletons,107,C  virilis,DNMT,absent,DNMTabsent,Singletons
Capitella teleta,Singletons,739,C  teleta,DNMT,present,DNMTpresent,Singletons
Clonorchis sinensis,Singletons,6,C  sinensis,DNMT,absent,DNMTabsent,Singletons
Crassostrea gigas,Singletons,458,C  gigas,DNMT,present,DNMTpresent,Singletons
Culex quinquefasciatus,Singletons,406,C  quinquefasciatus,DNMT,absent,DNMTabsent,Singletons
Danaus plexippus,Singletons,42,D  plexippus,DNMT,present,DNMTpresent,Singletons
Daphnia pulex,Singletons,400,D  pulex,DNMT,present,DNMTpresent,Singletons
Dendroctonus ponderosae,Singletons,256,D  ponderosae,DNMT,absent,DNMTabsent,Singletons
Dictyocaulus viviparus,Singletons,5,D  viviparus,DNMT,absent,DNMTabsent,Singletons
Diploscapter coronatus,Singletons,123,D  coronatus,DNMT,absent,DNMTabsent,Singletons
Dirofilaria immitis,Singletons,5,D  immitis,DNMT,absent,DNMTabsent,Singletons
Ditylenchus destructor,Singletons,148,D  destructor,DNMT,absent,DNMTabsent,Singletons
Dracunculus medinensis,Singletons,52,D  medinensis,DNMT,absent,DNMTabsent,Singletons
Drosophila erecta,Singletons,22,D  erecta,DNMT,absent,DNMTabsent,Singletons
Drosophila grimshawi,Singletons,66,D  grimshawi,DNMT,absent,DNMTabsent,Singletons
Drosophila melanogaster,Singletons,7,D  melanogaster,DNMT,absent,DNMTabsent,Singletons
Drosophila mojavensis,Singletons,80,D  mojavensis,DNMT,absent,DNMTabsent,Singletons
Drosophila pseudoobscura,Singletons,147,D  pseudoobscura,DNMT,absent,DNMTabsent,Singletons
Drosophila simulans,Singletons,6,D  simulans,DNMT,absent,DNMTabsent,Singletons
Drosophila yakuba,Singletons,53,D  yakuba,DNMT,absent,DNMTabsent,Singletons
Echinococcus multilocularis,Singletons,10,E  multilocularis,DNMT,absent,DNMTabsent,Singletons
Echinostoma caproni,Singletons,223,E  caproni,DNMT,absent,DNMTabsent,Singletons
Elaeophora elaphi,Singletons,2,E  elaphi,DNMT,absent,DNMTabsent,Singletons
Enterobius vermicularis,Singletons,38,E  vermicularis,DNMT,absent,DNMTabsent,Singletons
Fasciola hepatica,Singletons,140,F  hepatica,DNMT,absent,DNMTabsent,Singletons
Globodera pallida,Singletons,206,G  pallida,DNMT,absent,DNMTabsent,Singletons
Gongylonema pulchrum,Singletons,227,G  pulchrum,DNMT,absent,DNMTabsent,Singletons
Gyrodactylus salaris,Singletons,287,G  salaris,DNMT,absent,DNMTabsent,Singletons
Haemonchus contortus,Singletons,3,H  contortus,DNMT,absent,DNMTabsent,Singletons
Haemonchus placei,Singletons,4,H  placei,DNMT,absent,DNMTabsent,Singletons
Heliconius melpomene,Singletons,86,H  melpomene,DNMT,present,DNMTpresent,Singletons
Helobdella robusta,Singletons,187,H  robusta,DNMT,present,DNMTpresent,Singletons
Heterorhabditis bacteriophora,Singletons,31,H  bacteriophora,DNMT,absent,DNMTabsent,Singletons
Hydatigera taeniaeformis,Singletons,51,H  taeniaeformis,DNMT,absent,DNMTabsent,Singletons
Hymenolepis microstoma,Singletons,110,H  microstoma,DNMT,absent,DNMTabsent,Singletons
Hypsibius dujardini,Singletons,233,H  dujardini,DNMT,absent,DNMTabsent,Singletons
Lepeophtheirus salmonis,Singletons,1125,L  salmonis,DNMT,present,DNMTpresent,Singletons
Lingula anatina,Singletons,256,L  anatina,DNMT,present,DNMTpresent,Singletons
Litomosoides sigmodontis,Singletons,3,L  sigmodontis,DNMT,absent,DNMTabsent,Singletons
Loa loa,Singletons,14,L  loa,DNMT,absent,DNMTabsent,Singletons
Lottia gigantea,Singletons,239,L  gigantea,DNMT,present,DNMTpresent,Singletons
Lucilia cuprina,Singletons,300,L  cuprina,DNMT,absent,DNMTabsent,Singletons
Macrostomum lignano,Singletons,193,M  lignano,DNMT,present,DNMTpresent,Singletons
Megaselia scalaris,Singletons,542,M  scalaris,DNMT,absent,DNMTabsent,Singletons
Melitaea cinxia,Singletons,152,M  cinxia,DNMT,present,DNMTpresent,Singletons
Meloidogyne incognita,Singletons,110,M  incognita,DNMT,absent,DNMTabsent,Singletons
Mesocestoides corti,Singletons,61,M  corti,DNMT,absent,DNMTabsent,Singletons
Mesorhabditis belari,Singletons,376,M  belari,DNMT,absent,DNMTabsent,Singletons
Mnemiopsis leidyi,Singletons,463,M  leidyi,DNMT,present,DNMTpresent,Singletons
Nasonia vitripennis,Singletons,403,N  vitripennis,DNMT,present,DNMTpresent,Singletons
Necator americanus,Singletons,51,N  americanus,DNMT,absent,DNMTabsent,Singletons
Nematostella vectensis,Singletons,606,N  vectensis,DNMT,present,DNMTpresent,Singletons
Nippostrongylus brasiliensis,Singletons,236,N  brasiliensis,DNMT,absent,DNMTabsent,Singletons
Oesophagostomum dentatum,Singletons,185,O  dentatum,DNMT,absent,DNMTabsent,Singletons
Onchocerca volvulus,Singletons,17,O  volvulus,DNMT,absent,DNMTabsent,Singletons
Opisthorchis viverrini,Singletons,7,O  viverrini,DNMT,absent,DNMTabsent,Singletons
Panagrellus redivivus,Singletons,102,P  redivivus,DNMT,absent,DNMTabsent,Singletons
Parastrongyloides trichosuri,Singletons,10,P  trichosuri,DNMT,absent,DNMTabsent,Singletons
Pediculus humanus,Singletons,18,P  humanus,DNMT,present,DNMTpresent,Singletons
Plectus sambesii,Singletons,216,P  sambesii,DNMT,present,DNMTpresent,Singletons
Poikilolaimus oxycercus,Singletons,235,P  oxycercus,DNMT,absent,DNMTabsent,Singletons
Pristionchus exspectatus,Singletons,2,P  exspectatus,DNMT,absent,DNMTabsent,Singletons
Pristionchus pacificus,Singletons,11,P  pacificus,DNMT,absent,DNMTabsent,Singletons
Protopolystoma xenopodis,Singletons,74,P  xenopodis,DNMT,absent,DNMTabsent,Singletons
Rhodnius prolixus,Singletons,243,R  prolixus,DNMT,present,DNMTpresent,Singletons
Romanomermis culicivorax,Singletons,691,R  culicivorax,DNMT,present,DNMTpresent,Singletons
Sarcoptes scabiei,Singletons,4,S  scabiei,DNMT,present,DNMTpresent,Singletons
Schistocephalus solidus,Singletons,14,S  solidus,DNMT,absent,DNMTabsent,Singletons
Schistosoma haematobium,Singletons,11,S  haematobium,DNMT,absent,DNMTabsent,Singletons
Schistosoma japonicum,Singletons,84,S  japonicum,DNMT,absent,DNMTabsent,Singletons
Schistosoma mansoni,Singletons,6,S  mansoni,DNMT,absent,DNMTabsent,Singletons
Schmidtea mediterranea,Singletons,929,S  mediterranea,DNMT,absent,DNMTabsent,Singletons
Soboliphyme baturini,Singletons,188,S  baturini,DNMT,present,DNMTpresent,Singletons
Solenopsis invicta,Singletons,155,S  invicta,DNMT,present,DNMTpresent,Singletons
Spirometra erinaceieuropaei,Singletons,46,S  erinaceieuropaei,DNMT,absent,DNMTabsent,Singletons
Steinernema carpocapsae,Singletons,50,S  carpocapsae,DNMT,absent,DNMTabsent,Singletons
Steinernema scapterisci,Singletons,4,S  scapterisci,DNMT,absent,DNMTabsent,Singletons
Strigamia maritima,Singletons,391,S  maritima,DNMT,present,DNMTpresent,Singletons
Strongylocentrotus purpuratus,Singletons,555,S  purpuratus,DNMT,present,DNMTpresent,Singletons
Strongyloides ratti,Singletons,5,S  ratti,DNMT,absent,DNMTabsent,Singletons
Strongyloides venezuelensis,Singletons,39,S  venezuelensis,DNMT,absent,DNMTabsent,Singletons
Strongylus vulgaris,Singletons,171,S  vulgaris,DNMT,absent,DNMTabsent,Singletons
Syphacia muris,Singletons,11,S  muris,DNMT,absent,DNMTabsent,Singletons
Taenia asiatica,Singletons,3,T  asiatica,DNMT,absent,DNMTabsent,Singletons
Taenia saginata,Singletons,3,T  saginata,DNMT,absent,DNMTabsent,Singletons
Teladorsagia circumcincta,Singletons,100,T  circumcincta,DNMT,absent,DNMTabsent,Singletons
Tetranychus urticae,Singletons,100,T  urticae,DNMT,present,DNMTpresent,Singletons
Thelazia callipaeda,Singletons,9,T  callipaeda,DNMT,absent,DNMTabsent,Singletons
Thelohanellus kitauei,Singletons,258,T  kitauei,DNMT,absent,DNMTabsent,Singletons
Toxocara canis,Singletons,96,T  canis,DNMT,absent,DNMTabsent,Singletons
Tribolium castaneum,Singletons,256,T  castaneum,DNMT,present,DNMTpresent,Singletons
Trichinella nelsoni,Singletons,2,T  nelsoni,DNMT,present,DNMTpresent,Singletons
Trichinella pseudospiralis,Singletons,24,T  pseudospiralis,DNMT,present,DNMTpresent,Singletons
Trichinella spiralis,Singletons,8,T  spiralis,DNMT,present,DNMTpresent,Singletons
Trichobilharzia regenti,Singletons,231,T  regenti,DNMT,absent,DNMTabsent,Singletons
Trichoplax adhaerens,Singletons,46,T  adhaerens,DNMT,absent,DNMTabsent,Singletons
Trichuris muris,Singletons,67,T  muris,DNMT,present,DNMTpresent,Singletons
Trichuris suis,Singletons,78,T  suis,DNMT,present,DNMTpresent,Singletons
Wuchereria bancrofti,Singletons,1,W  bancrofti,DNMT,absent,DNMTabsent,Singletons
Zootermopsis nevadensis,Singletons,230,Z  nevadensis,DNMT,present,DNMTpresent,Singletons
Acanthocheilonema viteae,Degree,1085,A  viteae,DNMT,absent,DNMTabsent,Degree
Acyrthosiphon pisum,Degree,4261,A  pisum,DNMT,present,DNMTpresent,Degree
Amphimedon queenslandica,Degree,2137,A  queenslandica,DNMT,present,DNMTpresent,Degree
Ancylostoma caninum,Degree,4104,A  caninum,DNMT,absent,DNMTabsent,Degree
Ancylostoma ceylanicum,Degree,3796,A  ceylanicum,DNMT,absent,DNMTabsent,Degree
Anopheles darlingi,Degree,1270,A  darlingi,DNMT,absent,DNMTabsent,Degree
Anopheles gambiae,Degree,2337,A  gambiae,DNMT,absent,DNMTabsent,Degree
Apis mellifera,Degree,1756,A  mellifera,DNMT,present,DNMTpresent,Degree
Atta cephalotes,Degree,3414,A  cephalotes,DNMT,present,DNMTpresent,Degree
Belgica antarctica,Degree,1059,B  antarctica,DNMT,present,DNMTpresent,Degree
Bombus impatiens,Degree,2075,B  impatiens,DNMT,present,DNMTpresent,Degree
Bombyx mori,Degree,3282,B  mori,DNMT,present,DNMTpresent,Degree
Brugia malayi,Degree,1223,B  malayi,DNMT,absent,DNMTabsent,Degree
Bursaphelenchus xylophilus,Degree,1270,B  xylophilus,DNMT,absent,DNMTabsent,Degree
Caenorhabditis afra,Degree,2581,C  afra,DNMT,absent,DNMTabsent,Degree
Caenorhabditis angaria,Degree,2627,C  angaria,DNMT,absent,DNMTabsent,Degree
Caenorhabditis brenneri,Degree,3446,C  brenneri,DNMT,absent,DNMTabsent,Degree
Caenorhabditis briggsae,Degree,3129,C  briggsae,DNMT,absent,DNMTabsent,Degree
Caenorhabditis castelli,Degree,2616,C  castelli,DNMT,absent,DNMTabsent,Degree
Caenorhabditis doughertyi,Degree,3589,C  doughertyi,DNMT,absent,DNMTabsent,Degree
Caenorhabditis elegans,Degree,2633,C  elegans,DNMT,absent,DNMTabsent,Degree
Caenorhabditis japonica,Degree,3494,C  japonica,DNMT,absent,DNMTabsent,Degree
Caenorhabditis kamaaina,Degree,2669,C  kamaaina,DNMT,absent,DNMTabsent,Degree
Caenorhabditis latens,Degree,3135,C  latens,DNMT,absent,DNMTabsent,Degree
Caenorhabditis monodelphis,Degree,1974,C  monodelphis,DNMT,absent,DNMTabsent,Degree
Caenorhabditis nouraguensis,Degree,2417,C  nouraguensis,DNMT,absent,DNMTabsent,Degree
Caenorhabditis plicata,Degree,1923,C  plicata,DNMT,absent,DNMTabsent,Degree
Caenorhabditis remanei,Degree,3485,C  remanei,DNMT,absent,DNMTabsent,Degree
Caenorhabditis sinica,Degree,3594,C  sinica,DNMT,absent,DNMTabsent,Degree
Caenorhabditis sp21,Degree,1668,C  sp21,DNMT,absent,DNMTabsent,Degree
Caenorhabditis sp26,Degree,3311,C  sp26,DNMT,absent,DNMTabsent,Degree
Caenorhabditis sp28,Degree,2506,C  sp28,DNMT,absent,DNMTabsent,Degree
Caenorhabditis sp29,Degree,2666,C  sp29,DNMT,absent,DNMTabsent,Degree
Caenorhabditis sp31,Degree,2218,C  sp31,DNMT,absent,DNMTabsent,Degree
Caenorhabditis sp32,Degree,2596,C  sp32,DNMT,absent,DNMTabsent,Degree
Caenorhabditis sp34,Degree,2779,C  sp34,DNMT,absent,DNMTabsent,Degree
Caenorhabditis sp38,Degree,2431,C  sp38,DNMT,absent,DNMTabsent,Degree
Caenorhabditis sp39,Degree,2778,C  sp39,DNMT,absent,DNMTabsent,Degree
Caenorhabditis tropicalis,Degree,2652,C  tropicalis,DNMT,absent,DNMTabsent,Degree
Caenorhabditis virilis,Degree,2428,C  virilis,DNMT,absent,DNMTabsent,Degree
Capitella teleta,Degree,3243,C  teleta,DNMT,present,DNMTpresent,Degree
Clonorchis sinensis,Degree,2510,C  sinensis,DNMT,absent,DNMTabsent,Degree
Crassostrea gigas,Degree,3159,C  gigas,DNMT,present,DNMTpresent,Degree
Culex quinquefasciatus,Degree,2732,C  quinquefasciatus,DNMT,absent,DNMTabsent,Degree
Danaus plexippus,Degree,2443,D  plexippus,DNMT,present,DNMTpresent,Degree
Daphnia pulex,Degree,2297,D  pulex,DNMT,present,DNMTpresent,Degree
Dendroctonus ponderosae,Degree,2719,D  ponderosae,DNMT,absent,DNMTabsent,Degree
Dictyocaulus viviparus,Degree,479,D  viviparus,DNMT,absent,DNMTabsent,Degree
Diploscapter coronatus,Degree,1488,D  coronatus,DNMT,absent,DNMTabsent,Degree
Dirofilaria immitis,Degree,1114,D  immitis,DNMT,absent,DNMTabsent,Degree
Ditylenchus destructor,Degree,1418,D  destructor,DNMT,absent,DNMTabsent,Degree
Dracunculus medinensis,Degree,1116,D  medinensis,DNMT,absent,DNMTabsent,Degree
Drosophila erecta,Degree,2584,D  erecta,DNMT,absent,DNMTabsent,Degree
Drosophila grimshawi,Degree,1537,D  grimshawi,DNMT,absent,DNMTabsent,Degree
Drosophila melanogaster,Degree,2472,D  melanogaster,DNMT,absent,DNMTabsent,Degree
Drosophila mojavensis,Degree,2180,D  mojavensis,DNMT,absent,DNMTabsent,Degree
Drosophila pseudoobscura,Degree,1845,D  pseudoobscura,DNMT,absent,DNMTabsent,Degree
Drosophila simulans,Degree,2365,D  simulans,DNMT,absent,DNMTabsent,Degree
Drosophila yakuba,Degree,2963,D  yakuba,DNMT,absent,DNMTabsent,Degree
Echinococcus multilocularis,Degree,1443,E  multilocularis,DNMT,absent,DNMTabsent,Degree
Echinostoma caproni,Degree,3714,E  caproni,DNMT,absent,DNMTabsent,Degree
Elaeophora elaphi,Degree,1097,E  elaphi,DNMT,absent,DNMTabsent,Degree
Enterobius vermicularis,Degree,1373,E  vermicularis,DNMT,absent,DNMTabsent,Degree
Fasciola hepatica,Degree,3837,F  hepatica,DNMT,absent,DNMTabsent,Degree
Globodera pallida,Degree,1697,G  pallida,DNMT,absent,DNMTabsent,Degree
Gongylonema pulchrum,Degree,2001,G  pulchrum,DNMT,absent,DNMTabsent,Degree
Gyrodactylus salaris,Degree,1064,G  salaris,DNMT,absent,DNMTabsent,Degree
Haemonchus contortus,Degree,3386,H  contortus,DNMT,absent,DNMTabsent,Degree
Haemonchus placei,Degree,3032,H  placei,DNMT,absent,DNMTabsent,Degree
Heliconius melpomene,Degree,2280,H  melpomene,DNMT,present,DNMTpresent,Degree
Helobdella robusta,Degree,2569,H  robusta,DNMT,present,DNMTpresent,Degree
Heterorhabditis bacteriophora,Degree,1093,H  bacteriophora,DNMT,absent,DNMTabsent,Degree
Hydatigera taeniaeformis,Degree,1119,H  taeniaeformis,DNMT,absent,DNMTabsent,Degree
Hymenolepis microstoma,Degree,919,H  microstoma,DNMT,absent,DNMTabsent,Degree
Hypsibius dujardini,Degree,1267,H  dujardini,DNMT,absent,DNMTabsent,Degree
Lepeophtheirus salmonis,Degree,3782,L  salmonis,DNMT,present,DNMTpresent,Degree
Lingula anatina,Degree,2435,L  anatina,DNMT,present,DNMTpresent,Degree
Litomosoides sigmodontis,Degree,940,L  sigmodontis,DNMT,absent,DNMTabsent,Degree
Loa loa,Degree,1315,L  loa,DNMT,absent,DNMTabsent,Degree
Lottia gigantea,Degree,2682,L  gigantea,DNMT,present,DNMTpresent,Degree
Lucilia cuprina,Degree,3597,L  cuprina,DNMT,absent,DNMTabsent,Degree
Macrostomum lignano,Degree,4026,M  lignano,DNMT,present,DNMTpresent,Degree
Megaselia scalaris,Degree,3051,M  scalaris,DNMT,absent,DNMTabsent,Degree
Melitaea cinxia,Degree,3620,M  cinxia,DNMT,present,DNMTpresent,Degree
