Species,variable,value,label,EpiState,EpiVal,Color,variable_fac
Acanthocheilonema viteae,Singletons,8,A  viteae,PIWI,absent,PIWIabsent,Singletons
Acyrthosiphon pisum,Singletons,461,A  pisum,PIWI,present,PIWIpresent,Singletons
Amphimedon queenslandica,Singletons,476,A  queenslandica,PIWI,present,PIWIpresent,Singletons
Ancylostoma caninum,Singletons,13,A  caninum,PIWI,present,PIWIpresent,Singletons
Ancylostoma ceylanicum,Singletons,16,A  ceylanicum,PIWI,present,PIWIpresent,Singletons
Anopheles darlingi,Singletons,31,A  darlingi,PIWI,present,PIWIpresent,Singletons
Anopheles gambiae,Singletons,270,A  gambiae,PIWI,present,PIWIpresent,Singletons
Apis mellifera,Singletons,20,A  mellifera,PIWI,present,PIWIpresent,Singletons
Atta cephalotes,Singletons,88,A  cephalotes,PIWI,present,PIWIpresent,Singletons
Belgica antarctica,Singletons,54,B  antarctica,PIWI,present,PIWIpresent,Singletons
Bombus impatiens,Singletons,115,B  impatiens,PIWI,present,PIWIpresent,Singletons
Bombyx mori,Singletons,177,B  mori,PIWI,present,PIWIpresent,Singletons
Brugia malayi,Singletons,7,B  malayi,PIWI,absent,PIWIabsent,Singletons
Bursaphelenchus xylophilus,Singletons,112,B  xylophilus,PIWI,absent,PIWIabsent,Singletons
Caenorhabditis afra,Singletons,36,C  afra,PIWI,present,PIWIpresent,Singletons
Caenorhabditis angaria,Singletons,17,C  angaria,PIWI,present,PIWIpresent,Singletons
Caenorhabditis brenneri,Singletons,76,C  brenneri,PIWI,present,PIWIpresent,Singletons
Caenorhabditis briggsae,Singletons,50,C  briggsae,PIWI,present,PIWIpresent,Singletons
Caenorhabditis castelli,Singletons,13,C  castelli,PIWI,present,PIWIpresent,Singletons
Caenorhabditis doughertyi,Singletons,76,C  doughertyi,PIWI,present,PIWIpresent,Singletons
Caenorhabditis elegans,Singletons,62,C  elegans,PIWI,present,PIWIpresent,Singletons
Caenorhabditis japonica,Singletons,185,C  japonica,PIWI,present,PIWIpresent,Singletons
Caenorhabditis kamaaina,Singletons,40,C  kamaaina,PIWI,present,PIWIpresent,Singletons
Caenorhabditis latens,Singletons,5,C  latens,PIWI,present,PIWIpresent,Singletons
Caenorhabditis monodelphis,Singletons,170,C  monodelphis,PIWI,present,PIWIpresent,Singletons
Caenorhabditis nouraguensis,Singletons,10,C  nouraguensis,PIWI,present,PIWIpresent,Singletons
Caenorhabditis plicata,Singletons,213,C  plicata,PIWI,absent,PIWIabsent,Singletons
Caenorhabditis remanei,Singletons,3,C  remanei,PIWI,present,PIWIpresent,Singletons
Caenorhabditis sinica,Singletons,53,C  sinica,PIWI,present,PIWIpresent,Singletons
Caenorhabditis sp21,Singletons,107,C  sp21,PIWI,present,PIWIpresent,Singletons
Caenorhabditis sp26,Singletons,32,C  sp26,PIWI,present,PIWIpresent,Singletons
Caenorhabditis sp28,Singletons,25,C  sp28,PIWI,present,PIWIpresent,Singletons
Caenorhabditis sp29,Singletons,9,C  sp29,PIWI,present,PIWIpresent,Singletons
Caenorhabditis sp31,Singletons,88,C  sp31,PIWI,present,PIWIpresent,Singletons
Caenorhabditis sp32,Singletons,57,C  sp32,PIWI,present,PIWIpresent,Singletons
Caenorhabditis sp34,Singletons,97,C  sp34,PIWI,present,PIWIpresent,Singletons
Caenorhabditis sp38,Singletons,94,C  sp38,PIWI,present,PIWIpresent,Singletons
Caenorhabditis sp39,Singletons,21,C  sp39,PIWI,present,PIWIpresent,Singletons
Caenorhabditis tropicalis,Singletons,17,C  tropicalis,PIWI,present,PIWIpresent,Singletons
Caenorhabditis virilis,Singletons,107,C  virilis,PIWI,present,PIWIpresent,Singletons
Capitella teleta,Singletons,739,C  teleta,PIWI,present,PIWIpresent,Singletons
Clonorchis sinensis,Singletons,6,C  sinensis,PIWI,absent,PIWIabsent,Singletons
Crassostrea gigas,Singletons,458,C  gigas,PIWI,present,PIWIpresent,Singletons
Culex quinquefasciatus,Singletons,406,C  quinquefasciatus,PIWI,present,PIWIpresent,Singletons
Danaus plexippus,Singletons,42,D  plexippus,PIWI,present,PIWIpresent,Singletons
Daphnia pulex,Singletons,400,D  pulex,PIWI,present,PIWIpresent,Singletons
Dendroctonus ponderosae,Singletons,256,D  ponderosae,PIWI,present,PIWIpresent,Singletons
Dictyocaulus viviparus,Singletons,5,D  viviparus,PIWI,present,PIWIpresent,Singletons
Diploscapter coronatus,Singletons,123,D  coronatus,PIWI,present,PIWIpresent,Singletons
Dirofilaria immitis,Singletons,5,D  immitis,PIWI,absent,PIWIabsent,Singletons
Ditylenchus destructor,Singletons,148,D  destructor,PIWI,absent,PIWIabsent,Singletons
Dracunculus medinensis,Singletons,52,D  medinensis,PIWI,absent,PIWIabsent,Singletons
Drosophila erecta,Singletons,22,D  erecta,PIWI,present,PIWIpresent,Singletons
Drosophila grimshawi,Singletons,66,D  grimshawi,PIWI,present,PIWIpresent,Singletons
Drosophila melanogaster,Singletons,7,D  melanogaster,PIWI,present,PIWIpresent,Singletons
Drosophila mojavensis,Singletons,80,D  mojavensis,PIWI,present,PIWIpresent,Singletons
Drosophila pseudoobscura,Singletons,147,D  pseudoobscura,PIWI,present,PIWIpresent,Singletons
Drosophila simulans,Singletons,6,D  simulans,PIWI,present,PIWIpresent,Singletons
Drosophila yakuba,Singletons,53,D  yakuba,PIWI,present,PIWIpresent,Singletons
Echinococcus multilocularis,Singletons,10,E  multilocularis,PIWI,absent,PIWIabsent,Singletons
Echinostoma caproni,Singletons,223,E  caproni,PIWI,absent,PIWIabsent,Singletons
Elaeophora elaphi,Singletons,2,E  elaphi,PIWI,absent,PIWIabsent,Singletons
Enterobius vermicularis,Singletons,38,E  vermicularis,PIWI,absent,PIWIabsent,Singletons
Fasciola hepatica,Singletons,140,F  hepatica,PIWI,absent,PIWIabsent,Singletons
Globodera pallida,Singletons,206,G  pallida,PIWI,absent,PIWIabsent,Singletons
Gongylonema pulchrum,Singletons,227,G  pulchrum,PIWI,absent,PIWIabsent,Singletons
Gyrodactylus salaris,Singletons,287,G  salaris,PIWI,absent,PIWIabsent,Singletons
Haemonchus contortus,Singletons,3,H  contortus,PIWI,present,PIWIpresent,Singletons
Haemonchus placei,Singletons,4,H  placei,PIWI,present,PIWIpresent,Singletons
Heliconius melpomene,Singletons,86,H  melpomene,PIWI,present,PIWIpresent,Singletons
Helobdella robusta,Singletons,187,H  robusta,PIWI,present,PIWIpresent,Singletons
Heterorhabditis bacteriophora,Singletons,31,H  bacteriophora,PIWI,present,PIWIpresent,Singletons
Hydatigera taeniaeformis,Singletons,51,H  taeniaeformis,PIWI,absent,PIWIabsent,Singletons
Hymenolepis microstoma,Singletons,110,H  microstoma,PIWI,absent,PIWIabsent,Singletons
Hypsibius dujardini,Singletons,233,H  dujardini,PIWI,present,PIWIpresent,Singletons
Lepeophtheirus salmonis,Singletons,1125,L  salmonis,PIWI,present,PIWIpresent,Singletons
Lingula anatina,Singletons,256,L  anatina,PIWI,present,PIWIpresent,Singletons
Litomosoides sigmodontis,Singletons,3,L  sigmodontis,PIWI,absent,PIWIabsent,Singletons
Loa loa,Singletons,14,L  loa,PIWI,absent,PIWIabsent,Singletons
Lottia gigantea,Singletons,239,L  gigantea,PIWI,present,PIWIpresent,Singletons
Lucilia cuprina,Singletons,300,L  cuprina,PIWI,present,PIWIpresent,Singletons
Macrostomum lignano,Singletons,193,M  lignano,PIWI,present,PIWIpresent,Singletons
Megaselia scalaris,Singletons,542,M  scalaris,PIWI,present,PIWIpresent,Singletons
Melitaea cinxia,Singletons,152,M  cinxia,PIWI,present,PIWIpresent,Singletons
Meloidogyne incognita,Singletons,110,M  incognita,PIWI,absent,PIWIabsent,Singletons
Mesocestoides corti,Singletons,61,M  corti,PIWI,absent,PIWIabsent,Singletons
Mesorhabditis belari,Singletons,376,M  belari,PIWI,present,PIWIpresent,Singletons
Mnemiopsis leidyi,Singletons,463,M  leidyi,PIWI,present,PIWIpresent,Singletons
Nasonia vitripennis,Singletons,403,N  vitripennis,PIWI,present,PIWIpresent,Singletons
Necator americanus,Singletons,51,N  americanus,PIWI,present,PIWIpresent,Singletons
Nematostella vectensis,Singletons,606,N  vectensis,PIWI,present,PIWIpresent,Singletons
Nippostrongylus brasiliensis,Singletons,236,N  brasiliensis,PIWI,present,PIWIpresent,Singletons
Oesophagostomum dentatum,Singletons,185,O  dentatum,PIWI,present,PIWIpresent,Singletons
Onchocerca volvulus,Singletons,17,O  volvulus,PIWI,absent,PIWIabsent,Singletons
Opisthorchis viverrini,Singletons,7,O  viverrini,PIWI,absent,PIWIabsent,Singletons
Panagrellus redivivus,Singletons,102,P  redivivus,PIWI,absent,PIWIabsent,Singletons
Parastrongyloides trichosuri,Singletons,10,P  trichosuri,PIWI,absent,PIWIabsent,Singletons
Pediculus humanus,Singletons,18,P  humanus,PIWI,present,PIWIpresent,Singletons
Plectus sambesii,Singletons,216,P  sambesii,PIWI,present,PIWIpresent,Singletons
Poikilolaimus oxycercus,Singletons,235,P  oxycercus,PIWI,present,PIWIpresent,Singletons
Pristionchus exspectatus,Singletons,2,P  exspectatus,PIWI,present,PIWIpresent,Singletons
Pristionchus pacificus,Singletons,11,P  pacificus,PIWI,present,PIWIpresent,Singletons
Protopolystoma xenopodis,Singletons,74,P  xenopodis,PIWI,absent,PIWIabsent,Singletons
Rhodnius prolixus,Singletons,243,R  prolixus,PIWI,present,PIWIpresent,Singletons
Romanomermis culicivorax,Singletons,691,R  culicivorax,PIWI,absent,PIWIabsent,Singletons
Sarcoptes scabiei,Singletons,4,S  scabiei,PIWI,absent,PIWIabsent,Singletons
Schistocephalus solidus,Singletons,14,S  solidus,PIWI,absent,PIWIabsent,Singletons
Schistosoma haematobium,Singletons,11,S  haematobium,PIWI,absent,PIWIabsent,Singletons
Schistosoma japonicum,Singletons,84,S  japonicum,PIWI,absent,PIWIabsent,Singletons
Schistosoma mansoni,Singletons,6,S  mansoni,PIWI,absent,PIWIabsent,Singletons
Schmidtea mediterranea,Singletons,929,S  mediterranea,PIWI,present,PIWIpresent,Singletons
Soboliphyme baturini,Singletons,188,S  baturini,PIWI,absent,PIWIabsent,Singletons
Solenopsis invicta,Singletons,155,S  invicta,PIWI,present,PIWIpresent,Singletons
Spirometra erinaceieuropaei,Singletons,46,S  erinaceieuropaei,PIWI,absent,PIWIabsent,Singletons
Steinernema carpocapsae,Singletons,50,S  carpocapsae,PIWI,absent,PIWIabsent,Singletons
Steinernema scapterisci,Singletons,4,S  scapterisci,PIWI,absent,PIWIabsent,Singletons
Strigamia maritima,Singletons,391,S  maritima,PIWI,present,PIWIpresent,Singletons
Strongylocentrotus purpuratus,Singletons,555,S  purpuratus,PIWI,present,PIWIpresent,Singletons
Strongyloides ratti,Singletons,5,S  ratti,PIWI,absent,PIWIabsent,Singletons
Strongyloides venezuelensis,Singletons,39,S  venezuelensis,PIWI,absent,PIWIabsent,Singletons
Strongylus vulgaris,Singletons,171,S  vulgaris,PIWI,present,PIWIpresent,Singletons
Syphacia muris,Singletons,11,S  muris,PIWI,absent,PIWIabsent,Singletons
Taenia asiatica,Singletons,3,T  asiatica,PIWI,absent,PIWIabsent,Singletons
Taenia saginata,Singletons,3,T  saginata,PIWI,absent,PIWIabsent,Singletons
Teladorsagia circumcincta,Singletons,100,T  circumcincta,PIWI,present,PIWIpresent,Singletons
Tetranychus urticae,Singletons,100,T  urticae,PIWI,present,PIWIpresent,Singletons
Thelazia callipaeda,Singletons,9,T  callipaeda,PIWI,absent,PIWIabsent,Singletons
Thelohanellus kitauei,Singletons,258,T  kitauei,PIWI,present,PIWIpresent,Singletons
Toxocara canis,Singletons,96,T  canis,PIWI,absent,PIWIabsent,Singletons
Tribolium castaneum,Singletons,256,T  castaneum,PIWI,present,PIWIpresent,Singletons
Trichinella nelsoni,Singletons,2,T  nelsoni,PIWI,absent,PIWIabsent,Singletons
Trichinella pseudospiralis,Singletons,24,T  pseudospiralis,PIWI,absent,PIWIabsent,Singletons
Trichinella spiralis,Singletons,8,T  spiralis,PIWI,absent,PIWIabsent,Singletons
Trichobilharzia regenti,Singletons,231,T  regenti,PIWI,absent,PIWIabsent,Singletons
Trichoplax adhaerens,Singletons,46,T  adhaerens,PIWI,absent,PIWIabsent,Singletons
Trichuris muris,Singletons,67,T  muris,PIWI,absent,PIWIabsent,Singletons
Trichuris suis,Singletons,78,T  suis,PIWI,absent,PIWIabsent,Singletons
Wuchereria bancrofti,Singletons,1,W  bancrofti,PIWI,absent,PIWIabsent,Singletons
Zootermopsis nevadensis,Singletons,230,Z  nevadensis,PIWI,present,PIWIpresent,Singletons
Acanthocheilonema viteae,Degree,1085,A  viteae,PIWI,absent,PIWIabsent,Degree
Acyrthosiphon pisum,Degree,4261,A  pisum,PIWI,present,PIWIpresent,Degree
Amphimedon queenslandica,Degree,2137,A  queenslandica,PIWI,present,PIWIpresent,Degree
Ancylostoma caninum,Degree,4104,A  caninum,PIWI,present,PIWIpresent,Degree
Ancylostoma ceylanicum,Degree,3796,A  ceylanicum,PIWI,present,PIWIpresent,Degree
Anopheles darlingi,Degree,1270,A  darlingi,PIWI,present,PIWIpresent,Degree
Anopheles gambiae,Degree,2337,A  gambiae,PIWI,present,PIWIpresent,Degree
Apis mellifera,Degree,1756,A  mellifera,PIWI,present,PIWIpresent,Degree
Atta cephalotes,Degree,3414,A  cephalotes,PIWI,present,PIWIpresent,Degree
Belgica antarctica,Degree,1059,B  antarctica,PIWI,present,PIWIpresent,Degree
Bombus impatiens,Degree,2075,B  impatiens,PIWI,present,PIWIpresent,Degree
Bombyx mori,Degree,3282,B  mori,PIWI,present,PIWIpresent,Degree
Brugia malayi,Degree,1223,B  malayi,PIWI,absent,PIWIabsent,Degree
Bursaphelenchus xylophilus,Degree,1270,B  xylophilus,PIWI,absent,PIWIabsent,Degree
Caenorhabditis afra,Degree,2581,C  afra,PIWI,present,PIWIpresent,Degree
Caenorhabditis angaria,Degree,2627,C  angaria,PIWI,present,PIWIpresent,Degree
Caenorhabditis brenneri,Degree,3446,C  brenneri,PIWI,present,PIWIpresent,Degree
Caenorhabditis briggsae,Degree,3129,C  briggsae,PIWI,present,PIWIpresent,Degree
Caenorhabditis castelli,Degree,2616,C  castelli,PIWI,present,PIWIpresent,Degree
Caenorhabditis doughertyi,Degree,3589,C  doughertyi,PIWI,present,PIWIpresent,Degree
Caenorhabditis elegans,Degree,2633,C  elegans,PIWI,present,PIWIpresent,Degree
Caenorhabditis japonica,Degree,3494,C  japonica,PIWI,present,PIWIpresent,Degree
Caenorhabditis kamaaina,Degree,2669,C  kamaaina,PIWI,present,PIWIpresent,Degree
Caenorhabditis latens,Degree,3135,C  latens,PIWI,present,PIWIpresent,Degree
Caenorhabditis monodelphis,Degree,1974,C  monodelphis,PIWI,present,PIWIpresent,Degree
Caenorhabditis nouraguensis,Degree,2417,C  nouraguensis,PIWI,present,PIWIpresent,Degree
Caenorhabditis plicata,Degree,1923,C  plicata,PIWI,absent,PIWIabsent,Degree
Caenorhabditis remanei,Degree,3485,C  remanei,PIWI,present,PIWIpresent,Degree
Caenorhabditis sinica,Degree,3594,C  sinica,PIWI,present,PIWIpresent,Degree
Caenorhabditis sp21,Degree,1668,C  sp21,PIWI,present,PIWIpresent,Degree
Caenorhabditis sp26,Degree,3311,C  sp26,PIWI,present,PIWIpresent,Degree
Caenorhabditis sp28,Degree,2506,C  sp28,PIWI,present,PIWIpresent,Degree
Caenorhabditis sp29,Degree,2666,C  sp29,PIWI,present,PIWIpresent,Degree
Caenorhabditis sp31,Degree,2218,C  sp31,PIWI,present,PIWIpresent,Degree
Caenorhabditis sp32,Degree,2596,C  sp32,PIWI,present,PIWIpresent,Degree
Caenorhabditis sp34,Degree,2779,C  sp34,PIWI,present,PIWIpresent,Degree
Caenorhabditis sp38,Degree,2431,C  sp38,PIWI,present,PIWIpresent,Degree
Caenorhabditis sp39,Degree,2778,C  sp39,PIWI,present,PIWIpresent,Degree
Caenorhabditis tropicalis,Degree,2652,C  tropicalis,PIWI,present,PIWIpresent,Degree
Caenorhabditis virilis,Degree,2428,C  virilis,PIWI,present,PIWIpresent,Degree
Capitella teleta,Degree,3243,C  teleta,PIWI,present,PIWIpresent,Degree
Clonorchis sinensis,Degree,2510,C  sinensis,PIWI,absent,PIWIabsent,Degree
Crassostrea gigas,Degree,3159,C  gigas,PIWI,present,PIWIpresent,Degree
Culex quinquefasciatus,Degree,2732,C  quinquefasciatus,PIWI,present,PIWIpresent,Degree
Danaus plexippus,Degree,2443,D  plexippus,PIWI,present,PIWIpresent,Degree
Daphnia pulex,Degree,2297,D  pulex,PIWI,present,PIWIpresent,Degree
Dendroctonus ponderosae,Degree,2719,D  ponderosae,PIWI,present,PIWIpresent,Degree
Dictyocaulus viviparus,Degree,479,D  viviparus,PIWI,present,PIWIpresent,Degree
Diploscapter coronatus,Degree,1488,D  coronatus,PIWI,present,PIWIpresent,Degree
Dirofilaria immitis,Degree,1114,D  immitis,PIWI,absent,PIWIabsent,Degree
Ditylenchus destructor,Degree,1418,D  destructor,PIWI,absent,PIWIabsent,Degree
Dracunculus medinensis,Degree,1116,D  medinensis,PIWI,absent,PIWIabsent,Degree
Drosophila erecta,Degree,2584,D  erecta,PIWI,present,PIWIpresent,Degree
Drosophila grimshawi,Degree,1537,D  grimshawi,PIWI,present,PIWIpresent,Degree
Drosophila melanogaster,Degree,2472,D  melanogaster,PIWI,present,PIWIpresent,Degree
Drosophila mojavensis,Degree,2180,D  mojavensis,PIWI,present,PIWIpresent,Degree
Drosophila pseudoobscura,Degree,1845,D  pseudoobscura,PIWI,present,PIWIpresent,Degree
Drosophila simulans,Degree,2365,D  simulans,PIWI,present,PIWIpresent,Degree
Drosophila yakuba,Degree,2963,D  yakuba,PIWI,present,PIWIpresent,Degree
Echinococcus multilocularis,Degree,1443,E  multilocularis,PIWI,absent,PIWIabsent,Degree
Echinostoma caproni,Degree,3714,E  caproni,PIWI,absent,PIWIabsent,Degree
Elaeophora elaphi,Degree,1097,E  elaphi,PIWI,absent,PIWIabsent,Degree
Enterobius vermicularis,Degree,1373,E  vermicularis,PIWI,absent,PIWIabsent,Degree
Fasciola hepatica,Degree,3837,F  hepatica,PIWI,absent,PIWIabsent,Degree
Globodera pallida,Degree,1697,G  pallida,PIWI,absent,PIWIabsent,Degree
Gongylonema pulchrum,Degree,2001,G  pulchrum,PIWI,absent,PIWIabsent,Degree
Gyrodactylus salaris,Degree,1064,G  salaris,PIWI,absent,PIWIabsent,Degree
Haemonchus contortus,Degree,3386,H  contortus,PIWI,present,PIWIpresent,Degree
Haemonchus placei,Degree,3032,H  placei,PIWI,present,PIWIpresent,Degree
Heliconius melpomene,Degree,2280,H  melpomene,PIWI,present,PIWIpresent,Degree
Helobdella robusta,Degree,2569,H  robusta,PIWI,present,PIWIpresent,Degree
Heterorhabditis bacteriophora,Degree,1093,H  bacteriophora,PIWI,present,PIWIpresent,Degree
Hydatigera taeniaeformis,Degree,1119,H  taeniaeformis,PIWI,absent,PIWIabsent,Degree
Hymenolepis microstoma,Degree,919,H  microstoma,PIWI,absent,PIWIabsent,Degree
Hypsibius dujardini,Degree,1267,H  dujardini,PIWI,present,PIWIpresent,Degree
Lepeophtheirus salmonis,Degree,3782,L  salmonis,PIWI,present,PIWIpresent,Degree
Lingula anatina,Degree,2435,L  anatina,PIWI,present,PIWIpresent,Degree
Litomosoides sigmodontis,Degree,940,L  sigmodontis,PIWI,absent,PIWIabsent,Degree
Loa loa,Degree,1315,L  loa,PIWI,absent,PIWIabsent,Degree
Lottia gigantea,Degree,2682,L  gigantea,PIWI,present,PIWIpresent,Degree
Lucilia cuprina,Degree,3597,L  cuprina,PIWI,present,PIWIpresent,Degree
Macrostomum lignano,Degree,4026,M  lignano,PIWI,present,PIWIpresent,Degree
Megaselia scalaris,Degree,3051,M  scalaris,PIWI,present,PIWIpresent,Degree
